"electrode","degree","strength","betweenness","band","state","region"
"Oz",40,3.03654828819134,0.0614439324116743,"alpha","meditation","occipital"
"Iz",39,2.86419111048324,0.0225294418842806,"alpha","meditation","occipital"
"P9",38,2.66028320574303,0.0552995391705069,"alpha","meditation","other"
"O1",34,2.28387014527826,0.0220174091141833,"alpha","meditation","occipital"
"PO7",31,1.99397244805819,0.0399385560675883,"alpha","meditation","parietal"
