"electrode","degree","strength","betweenness","band","state","region"
"CP1",35,0.397289945729155,0.0660522273425499,"beta","thinking","central"
"POz",37,0.389676767786944,0.103942652329749,"beta","thinking","other"
"C1",30,0.335718022136297,0.0809011776753712,"beta","thinking","other"
"Oz",29,0.287535722749576,0.0721966205837174,"beta","thinking","occipital"
"CP3",26,0.279026854420291,0.0102406554019457,"beta","thinking","central"
