"electrode","degree","strength","betweenness","band","state","region"
"CP1",32,0.372669680277153,0.0117767537122376,"beta","meditation","central"
"Oz",35,0.371024891224391,0.0778289810547875,"beta","meditation","occipital"
"C1",29,0.327606054779117,0.0517153097798259,"beta","meditation","other"
"POz",30,0.308856910068195,0.0896057347670251,"beta","meditation","other"
"Iz",27,0.287692179700735,0.0506912442396313,"beta","meditation","occipital"
