"electrode","degree","strength","betweenness","band","state","region"
"CP1",35,0.558070182957977,0.0737327188940092,"beta","meditation","central"
"AF3",31,0.488417064327148,0.0337941628264209,"beta","meditation","frontal"
"AFz",28,0.439279176032179,0.0302099334357399,"beta","meditation","other"
"C1",24,0.372556044875896,0.0424987199180748,"beta","meditation","other"
"Oz",23,0.332589474188116,0.0302099334357399,"beta","meditation","occipital"
