"electrode","degree","strength","betweenness","band","state","region"
"Oz",41,3.3521428910231,0.00460829493087558,"alpha","meditation","occipital"
"Iz",40,3.11682696834077,0.03584229390681,"alpha","meditation","occipital"
"O1",40,2.97302285722914,0.0307219662058372,"alpha","meditation","occipital"
"P9",39,2.96492096294715,0.0281618023553507,"alpha","meditation","other"
"PO7",37,2.58093707632238,0.0701484895033282,"alpha","meditation","parietal"
