"electrode","degree","strength","betweenness","condition","band","state","region"
"PO7",6,0.0571211978741154,0.014336917562724,"beta_thinking","beta","thinking","parietal"
"F7",6,0.0553091841709017,0.00153609831029186,"beta_thinking","beta","thinking","frontal"
"CP2",6,0.0529923800738022,0.00307219662058372,"beta_thinking","beta","thinking","central"
"P7",5,0.0488427423628644,0.00256016385048643,"beta_thinking","beta","thinking","other"
"CP5",4,0.0406600281327233,0,"beta_thinking","beta","thinking","central"
"C5",3,0.0298231617270389,0,"beta_thinking","beta","thinking","other"
"PO3",3,0.0298219709924326,0,"beta_thinking","beta","thinking","parietal"
"O1",3,0.0294939019067216,0,"beta_thinking","beta","thinking","occipital"
"F6",3,0.027374718765325,0.00307219662058372,"beta_thinking","beta","thinking","other"
"TP7",3,0.0272001517919197,0.00307219662058372,"beta_thinking","beta","thinking","temporal"
"FC4",3,0.0263067912816438,0.00307219662058372,"beta_thinking","beta","thinking","other"
"AF8",2,0.0199657501441143,0,"beta_thinking","beta","thinking","frontal"
"F8",2,0.0196832376700983,0,"beta_thinking","beta","thinking","frontal"
"FT7",2,0.0185674984040065,0,"beta_thinking","beta","thinking","other"
"T7",2,0.0183089064321817,0,"beta_thinking","beta","thinking","other"
"PO8",1,0.0102530961396198,0,"beta_thinking","beta","thinking","parietal"
"C4",1,0.00964975680604679,0,"beta_thinking","beta","thinking","central"
"FT8",1,0.00914301679337026,0,"beta_thinking","beta","thinking","other"
"P8",1,0.00902450013210602,0,"beta_thinking","beta","thinking","other"
"P6",1,0.008762633871518,0,"beta_thinking","beta","thinking","other"
"CP4",1,0.00863638531758854,0,"beta_thinking","beta","thinking","central"
"C6",1,0.008495251547717,0,"beta_thinking","beta","thinking","other"
"Fp1",0,0,0,"beta_thinking","beta","thinking","frontal"
"FC6",0,0,0,"beta_thinking","beta","thinking","other"
"T8",0,0,0,"beta_thinking","beta","thinking","other"
"TP8",0,0,0,"beta_thinking","beta","thinking","temporal"
"CP6",0,0,0,"beta_thinking","beta","thinking","central"
"P4",0,0,0,"beta_thinking","beta","thinking","parietal"
